epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7775,2.21924,7.90952,1.60378,0,0,0,0,1.89882,5.1392,1.42011,6.783e-05,6.783e-05,6.783e-05
2,132.235,2.10766,7.0032,1.42719,0,0,0,0,1.88038,5.06821,1.35607,0.000137515,0.000137515,0.000137515
3,197.076,1.99206,7.23763,1.3451,0,0,0,0,1.82898,4.9907,1.29276,0.000205793,0.000205793,0.000205793
4,263.186,1.78258,8.45299,1.19996,0,0,0,0,1.74964,4.77693,1.25067,0.000272664,0.000272664,0.000272664
5,330.368,2.01157,4.9723,1.31754,0.03399,0.0405,0.03181,0.018,1.73327,4.25804,1.25587,0.000310209,0.000310209,0.000310209
6,395.092,1.87559,8.93444,1.25676,0.02302,0.06576,0.03035,0.01806,1.72548,3.97936,1.21502,0.000307011,0.000307011,0.000307011
7,460.313,1.81898,7.5077,1.18593,0.04074,0.08326,0.04005,0.02472,1.68542,4.06451,1.1961,0.000303814,0.000303814,0.000303814
8,525.961,1.97473,5.26644,1.23276,0.03857,0.09688,0.05309,0.03501,1.65558,3.98976,1.1686,0.000300616,0.000300616,0.000300616
9,592.114,1.70414,8.14032,1.0982,0.09061,0.14615,0.08072,0.04225,1.61258,3.86742,1.13947,0.000297418,0.000297418,0.000297418
10,657.84,1.89698,5.56701,1.20117,0.04402,0.12967,0.06355,0.03671,1.61729,3.69834,1.14637,0.000294221,0.000294221,0.000294221
11,764.698,1.82621,4.44369,1.18201,0.03373,0.13419,0.06069,0.03704,1.63271,3.52523,1.15354,0.000291023,0.000291023,0.000291023
12,830.125,1.72007,7.65568,1.17955,0.02719,0.1318,0.05936,0.03779,1.64964,3.32309,1.16688,0.000287825,0.000287825,0.000287825
13,894.848,1.74466,7.36829,1.11839,0.03752,0.14855,0.06032,0.036,1.60669,3.50529,1.14809,0.000284628,0.000284628,0.000284628
14,976.172,1.6044,5.54754,1.10395,0.04234,0.17245,0.0759,0.0486,1.53948,3.55208,1.13047,0.00028143,0.00028143,0.00028143
15,1068.88,1.80221,9.49956,1.14191,0.04865,0.18088,0.08404,0.05266,1.53686,3.59274,1.12366,0.000278232,0.000278232,0.000278232
16,1162.59,1.81839,4.65553,1.22645,0.06313,0.18308,0.09877,0.06404,1.4947,3.72921,1.11022,0.000275035,0.000275035,0.000275035
17,1229.71,1.7864,4.76844,1.19057,0.05533,0.17998,0.09858,0.06468,1.50288,3.6428,1.09901,0.000271837,0.000271837,0.000271837
18,1280,1.77087,4.26356,1.14446,0.09282,0.19872,0.12926,0.09369,1.49398,3.46116,1.09542,0.000268639,0.000268639,0.000268639
19,1327.96,1.70689,5.13752,1.17281,0.09051,0.20785,0.13611,0.09742,1.51189,3.34489,1.09474,0.000265441,0.000265441,0.000265441
20,1377.33,1.74465,7.54111,1.12763,0.0654,0.21592,0.13085,0.08996,1.52215,3.3018,1.09179,0.000262244,0.000262244,0.000262244
21,1436.92,1.69803,5.22716,1.15263,0.06592,0.23632,0.15096,0.10606,1.46986,3.21861,1.08571,0.000259046,0.000259046,0.000259046
22,1498.85,1.7066,3.90863,1.13655,0.04993,0.2507,0.14677,0.10375,1.47994,3.05879,1.09213,0.000255848,0.000255848,0.000255848
23,1561.45,1.66369,4.81707,1.1595,0.4229,0.09254,0.14185,0.10189,1.48791,2.94175,1.08915,0.000252651,0.000252651,0.000252651
24,1624.78,1.58372,7.31296,1.10717,0.48039,0.08169,0.15261,0.11195,1.47034,2.7223,1.0781,0.000249453,0.000249453,0.000249453
25,1686.72,1.62813,3.63765,1.14291,0.47364,0.08989,0.1666,0.12215,1.47486,2.60996,1.08346,0.000246255,0.000246255,0.000246255
26,1747.84,1.60378,5.39978,1.09027,0.37552,0.09788,0.16031,0.11724,1.44832,2.54427,1.08451,0.000243057,0.000243057,0.000243057
27,1808.53,1.56833,3.8761,1.10763,0.36827,0.0854,0.1527,0.10759,1.43624,2.63777,1.08226,0.00023986,0.00023986,0.00023986
